protocol,topology,num_replicas,set_size,payload_size,digest_bits,divergence,pattern,seed,round_cap,rounds,converged,target_union_size,total_state_bytes_sent,total_state_bytes_received,total_metadata_bytes_sent,total_metadata_bytes_received,total_encode_time_ns,total_decode_time_ns,total_elements_added
Riblt,Star,8,10000,32,64,0.1,Uniform,1,20,2,true,16153,0,0,1088176,1088176,4193428073,1737653454,49224
Riblt,Star,8,10000,32,64,0.1,Uniform,2,20,2,true,16122,0,0,1080208,1080208,4192962041,1727121005,48976
Riblt,Star,8,10000,32,64,0.1,Uniform,3,20,2,true,16128,0,0,1070784,1070784,4162435024,1722050531,49024
Riblt,Star,8,10000,32,64,0.1,Uniform,4,20,2,true,16119,0,0,1072464,1072464,4164873078,1719401107,48952
Riblt,Star,8,10000,32,64,0.1,Uniform,5,20,2,true,16107,0,0,1079344,1079344,4186236152,1720879281,48856
Riblt,Star,8,10000,32,64,0.1,Uniform,6,20,2,true,16117,0,0,1083792,1083792,4239168602,1740644303,48936
Riblt,Star,8,10000,32,64,0.1,Uniform,7,20,2,true,16104,0,0,1090240,1090240,4189048270,1734615485,48832
Riblt,Star,8,10000,32,64,0.1,Uniform,8,20,2,true,16091,0,0,1078624,1078624,4165191967,1713708923,48728
Riblt,Star,8,10000,32,64,0.1,Uniform,9,20,2,true,16115,0,0,1087168,1087168,4185368120,1725740288,48920
Riblt,Star,8,10000,32,64,0.2,Uniform,0,20,2,true,20979,0,0,1953200,1953200,5254546546,3322693989,87832
Riblt,Star,8,10000,32,64,0.2,Uniform,1,20,2,true,21072,0,0,1955104,1955104,5269957967,3336759413,88576
Riblt,Star,8,10000,32,64,0.2,Uniform,2,20,2,true,21014,0,0,1958480,1958480,5283225707,3339841688,88112
Riblt,Star,8,10000,32,64,0.2,Uniform,3,20,2,true,21046,0,0,1974112,1974112,5266732405,3349763907,88368
Riblt,Star,8,10000,32,64,0.2,Uniform,4,20,2,true,21053,0,0,1973408,1973408,5318745451,3347415990,88424
Riblt,Star,8,10000,32,64,0.2,Uniform,5,20,2,true,21034,0,0,1956688,1956688,5263742479,3331236250,88272
Riblt,Star,8,10000,32,64,0.2,Uniform,6,20,2,true,20988,0,0,1955648,1955648,5279489266,3335949950,87904
Riblt,Star,8,10000,32,64,0.2,Uniform,7,20,2,true,20971,0,0,1963104,1963104,5288086242,3329492798,87768
Riblt,Star,8,10000,32,64,0.2,Uniform,8,20,2,true,20998,0,0,1955872,1955872,5247285437,3313935973,87984
Riblt,Star,8,10000,32,64,0.2,Uniform,9,20,2,true,21001,0,0,1957360,1957360,5266552838,3322110019,88008
Riblt,Tree,8,10000,32,64,0.001,Uniform,0,20,5,true,10070,0,0,15104,15104,2700309669,13309326,560
Riblt,Tree,8,10000,32,64,0.001,Uniform,1,20,5,true,10070,0,0,13616,13616,2614563243,12937964,560
Riblt,Tree,8,10000,32,64,0.001,Uniform,2,20,5,true,10070,0,0,13424,13424,2592683027,12867286,560
Riblt,Tree,8,10000,32,64,0.001,Uniform,3,20,5,true,10070,0,0,13936,13936,2645831749,12994179,560
Riblt,Tree,8,10000,32,64,0.001,Uniform,4,20,5,true,10070,0,0,14912,14912,2701185772,12992636,560
